ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
15032,vàng-muk,vàng-muk,vang2-muk6,[ʋaŋ˩˩] [muk̚˨],hoâiⁿbo̍k,hoâiⁿ-bo̍k,vàngmuk,橫木,橫木,橫木
15033,vàng-pa-pa,vàng-pa-pa,vang2-pa4-pa4,[ʋaŋ˩˩] [pa˥˥] [pa˥˥],hoâiⁿ pàpà,hoâiⁿ pà-pà,vàng papa,橫霸霸,橫霸霸,霸道
15034,Vàng-sân,Vàng-sân,Vang2-san1,[ʋaŋ˩˩] [san˨˦],Hoâiⁿsoaⁿ,Hoâiⁿ-soaⁿ,Vàngsân,橫山,橫山,橫山（地名）
15035,vàng-sí,vàng-sí,vang2-si3,[ʋaŋ˩˩] [ɕi˧˩],siak sí,siak sí,vàng sí,橫死,siak死,摔死
15036,vàng-tá,vàng-tá,vang2-ta3,[ʋaŋ˩˩] [ta˧˩],hoâiⁿpà,hoâiⁿ-pà,vàngtá,橫打,橫霸,橫行
15037,vàng-kak-mo̍k,vàng-kak-mo̍k,vang2-kak6-mok5,[ʋaŋ˩˩] [kak̚˨] [mok̚˥],hoâiⁿkeh mo̍h,hoâiⁿ-keh mo̍h,vàngkak mo̍k,橫膈膜,橫膈膜,橫膈膜
15038,vàng-tén,vàng-tén,vang2-ten3,[ʋaŋ˩˩] [ten˧˩],tó leh,tó leh,vàng tén,橫著,倒leh,橫著
15039,piong-vàng-lòi,piong-vàng-lòi,piong4-vang2-loi2,[pioŋ˥˥] [ʋaŋ˩˩] [loi˩˩],hē thántó,hē thán-tó,piong vàng lòi,放橫來,hē坦倒,將東西平放
15040,vàng-tó,vàng-tó,vang2-to3,[ʋaŋ˩˩] [to˧˩],poa̍htó,poa̍h-tó,vàngtó,橫倒,跋倒,跌倒
15041,vàng-vuk,vàng-vuk,vang2-vuk6,[ʋaŋ˩˩] [ʋuk̚˨],hoâiⁿ chhù,hoâiⁿ chhù,vàng vuk,橫屋,橫厝,左右向的屋子
15042,vat-chón,vat-chón,vat6-chon3,[ʋat̚˨] [tson˧˩],oattńg,oat-tńg,vatchón,斡轉,oattńg,彎過去
15043,vat-chéu,vat-chéu,vat6-cheu3,[ʋat̚˨] [tseu˧˩],oa̍tcháu,oa̍t-cháu,vat chéu,斡走,oa̍t走,掉頭走開
15044,vat-chón-hi,vat-chón-hi,vat6-chon3-hi4,[ʋat̚˨] [tson˧˩] [hi˥˥],oat tńg khì,oat tńg khì,vat chónhi,斡轉去,oat tńg去,彎回去
15045,vat-thèu,vat-thèu,vat6-theu2,[ʋat̚˨] [tʰeu˩˩],oa̍tthâu,oa̍t-thâu,vatthèu,斡頭,oa̍t頭,轉頭
15046,va̍t-tó,va̍t-tó,vat5-to3,[ʋat̚˥] [to˧˩],ku̍t tó,ku̍t tó,va̍t tó,滑倒（詔安）,滑倒,滑倒
15047,va̍t-liu,va̍t-liu,vat5-liu4,[ʋat̚˥] [liu˥˥],ku̍tliu,ku̍t-liu,va̍tliu,滑溜,滑溜,流利
15048,vat-to-chón,vat-to-chón,vat6-to4-chon3,[ʋat̚˨] [to˥˥] [tson˧˩],oa̍t tòtńg,oa̍t tò-tńg,vat tochón,斡到轉,oa̍t倒tńg,回轉過來
15049,va̍t-va̍t,va̍t-va̍t,vat5-vat5,[ʋat̚˥] [ʋat̚˥],ku̍tku̍t,ku̍t-ku̍t,va̍tva̍t,滑滑,滑滑,滑滑的
15050,ve-chúng,ve-chúng,ve4-chung3,[ʋe˥˥] [tsuŋ˧˩],iā chéng,iā chéng,ve chúng,委種,掖種,撒種
15051,ve-fâ,ve-fâ,ve4-fa1,[ʋe˥˥] [fa˨˦],iā hoe,iā hoe,ve fâ,委花,撒花,撒花
15052,ve-fôi,ve-fôi,ve4-foi1,[ʋe˥˥] [foi˨˦],iā hoe,iā hoe,ve fôi,委灰,掖灰,撒灰
15053,ve-khôi,ve-khôi,ve4-khoi1,[ʋe˥˥] [kʰoi˨˦],iā khui,iā khui,ve khôi,委開,掖開,撒開
15054,ve-lo̍k,ve-lo̍k,ve4-lok5,[ʋe˥˥] [lok̚˥],iā lo̍h,iā lo̍h,ve lo̍k,委落,掖落,撒落
15055,ve-mióng,ve-mióng,ve4-miong3,[ʋe˥˥] [mioŋ˧˩],phabāng,pha-bāng,vemióng,委網,拋網,撒網
15056,ve-nài,ve-nài,ve4-nai2,[ʋe˥˥] [nai˩˩],iā thô͘,iā thô͘,ve nài,委泥,掖土,撒泥土
15057,ve-ngi̍p,ve-ngi̍p,ve4-ngip5,[ʋe˥˥] [ɲip̚˥],iā ji̍p,iā ji̍p,ve ngi̍p,委入,掖入,撒入
15058,ve-têu,ve-têu,ve4-teu1,[ʋe˥˥] [teu˨˦],iā kóa,iā kóa,ve têu,委兜,掖kóa,撒一些
15059,ve-thiên-ve -thi,ve-thiên-ve -thi,ve4-thien1-ve4 -thi4,[ʋe˥˥] [tʰien˨˦] [ʋe˥˥] [tʰi˥˥],hoahthiⁿ hoahtē,hoah-thiⁿ hoah-tē,vethiên vethi,噦天噦地,hoahthiⁿ hoahtē,呼天喊地
15060,ve-kuk-chúng,ve-kuk-chúng,ve4-kuk6-chung3,[ʋe˥˥] [kuk̚˨] [tsuŋ˧˩],iā chhekchéng,iā chhek-chéng,ve kukchúng,委穀種,掖粟種,撒播稻穀的種子
15061,ve-yàm,ve-yàm,ve4-yam2,[ʋe˥˥] [iam˩˩],soah iâm,soah iâm,ve yàm,委鹽,soah鹽,撒鹽
15062,ve-yông,ve-yông,ve4-yong1,[ʋe˥˥] [ioŋ˨˦],iā ng'á,iā ng-á,veyông,委秧,掖秧á,撒秧苗
15063,vi-chho̍k,vi-chho̍k,vi4-chhok5,[ʋi˥˥] [tsʰok̚˥],ūitio̍h,ūi-tio̍h,vichho̍k,為著,為tio̍h,為了
15064,vi-chhòng,vi-chhòng,vi4-chhong2,[ʋi˥˥] [tsʰoŋ˩˩],ūitn̂g,ūi-tn̂g,vichhòng,胃腸,胃腸,胃腸
15065,vì-chhṳ̀,vì-chhṳ̀,vi2-chhii2,[ʋi˩˩] [tsʰɨ˩˩],îchhî,î-chhî,vìchhṳ̀,維持,維持,維持
15066,vi-chiak,vi-chiak,vi4-chiak6,[ʋi˥˥] [tɕiak̚˨],ūitì,ūi-tì,vichiak,位跡,位置,位置
15067,vì-chṳ́,vì-chṳ́,vi2-chii3,[ʋi˩˩] [tsɨ˧˩],ûichí,ûi-chí,vìchṳ́,為止,為止,為止
15068,vi-chû-é,vi-chû-é,vi4-chu1-e3,[ʋi˥˥] [tsu˨˦] [e˧˩],chhī ti'á,chhī ti-á,vi chû'é,餵豬é,飼豬á,餵豬
15069,vi-é,vi-é,vi4-e3,[ʋi˥˥] [e˧˩],ūi'á,ūi-á,vi'é,位é,位á,位子
15070,vì-fam,vì-fam,vi2-fam4,[ʋi˩˩] [fam˥˥],ûihoān,ûih-oān,vìfam,違犯,違犯,違犯
15071,vì-fán,vì-fán,vi2-fan3,[ʋi˩˩] [fan˧˩],ûihoán,ûih-oán,vìfán,違反,違反,違反
15072,vì-fap,vì-fap,vi2-fap6,[ʋi˩˩] [fap̚˨],ûihoat,ûih-oat,vìfap,違法,違法,違法
