ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
181,châ-yîm,châ-yîm,cha1-yim1,[tsa˨˦] [im˨˦],jia iáⁿ,jia iáⁿ,châ yîm,遮蔭,遮影,遮蔭
182,chai-chú,chai-chú,chai4-chu3,[tsai˥˥] [tsu˧˩],chèchú,chè-chú,chaichú,債主,債主,債主
183,châi-chung,châi-chung,chai1-chung4,[tsai˨˦] [tsuŋ˥˥],chaichèng,chai-chèng,châichung,栽種,栽種,栽種
184,chai-fi,chai-fi,chai4-fi4,[tsai˥˥] [fi˥˥],chàihōe,chàih-ōe,chaifi,再會,再會,再會
185,châi-fo,châi-fo,chai1-fo4,[tsai˨˦] [fo˥˥],chaihō,chai-hō,châifo,災禍,災禍,災禍
186,châi-fo,châi-fo,chai1-fo4,[tsai˨˦] [fo˥˥],chaihō,chai-hō,châifo,災禍,災禍,災難
187,chai-fûn,chai-fûn,chai4-fun1,[tsai˥˥] [fun˨˦],chài hun,chài hun,chaifûn,再婚,再婚,再婚
188,chai-mâi,chai-mâi,chai4-mai1,[tsai˥˥] [mai˨˦],koh chài bé,koh chài bé,chai mâi,再買,koh再買,再買
189,chai-hi,chai-hi,chai4-hi4,[tsai˥˥] [hi˥˥],chài khì,chài khì,chaihi,再去,再去,再去
190,chai-hí,chai-hí,chai4-hi3,[tsai˥˥] [hi˧˩],chài khí,chài khí,chaihí,再起,再起,再起
191,chai-hióng,chai-hióng,chai4-hiong3,[tsai˥˥] [hioŋ˧˩],chài hiáng,chài hiáng,chaihióng,再響,再響,再響
192,châi-hoi,châi-hoi,chai1-hoi4,[tsai˨˦] [hoi˥˥],chaihāi,chai-hāi,châihoi,災害,災害,災害
193,chai-kâ,chai-kâ,chai4-ka1,[tsai˥˥] [ka˨˦],koh ke,koh ke,chaikâ,再加,koh加,再加
194,châi-kie,châi-kie,chai1-kie4,[tsai˨˦] [kie˥˥],chaikài,chai-kài,châikie,齋戒,齋戒,齋戒
195,chai-kien,chai-kien,chai4-kien4,[tsai˥˥] [kien˥˥],chàikiàn,chài-kiàn,chaikien,再見,再見,再見
196,chai-ko,chai-ko,chai4-ko4,[tsai˥˥] [ko˥˥],koh chi̍t pái,koh chi̍t pái,chaiko,再過,koh一pái,再一次
197,chai-kóng,chai-kóng,chai4-kong3,[tsai˥˥] [koŋ˧˩],chàikóng,chài-kóng,chaikóng,再講,再講,再講
198,chai-lòi,chai-lòi,chai4-loi2,[tsai˥˥] [loi˩˩],kohchài lâi,koh-chài lâi,chailòi,再來,koh再來,再來
199,chai-mân,chai-mân,chai4-man1,[tsai˥˥] [man˨˦],chài móa,chài móa,chaimân,載滿,載滿,載滿
200,châi-mìn,châi-mìn,chai1-min2,[tsai˨˦] [min˩˩],chaibîn,chai-bîn,châimìn,災民,災民,災民
201,châi-nan,châi-nan,chai1-nan4,[tsai˨˦] [nan˥˥],chailān,chai-lān,châinan,災難,災難,災難
202,châi-nan-kuk,châi-nan-kuk,chai1-nan4-kuk6,[tsai˨˦] [nan˥˥] [kuk̚˨],chailān kok,chai-lān kok,châinankuk,災難谷,災難谷,災難谷
203,châi-phì,châi-phì,chai1-phi2,[tsai˨˦] [pʰi˩˩],chaipôe,chai-pôe,châiphì,栽培,栽培,栽培
204,chai-sâm,chai-sâm,chai4-sam1,[tsai˥˥] [sam˨˦],chài saⁿ,chài saⁿ,chaisâm,再三,再三,再三
205,chái-siong,chái-siong,chai3-siong4,[tsai˧˩] [ɕioŋ˥˥],cháisiòng,chái-siòng,cháisiong,宰相,宰相,宰相
206,chai-tén,chai-tén,chai4-ten3,[tsai˥˥] [ten˧˩],teh chài,teh chài,chaitén,載著,teh載,載著
207,chai-thâng,chai-thâng,chai4-thang1,[tsai˥˥] [tʰaŋ˨˦],koh chài thiaⁿ,koh chài thiaⁿ,chaithâng,再聽,koh再聽,再聽
208,chai-thó,chai-thó,chai4-tho3,[tsai˥˥] [tʰo˧˩],koh chài thó,koh chài thó,chaithó,再討,koh再討,再討
209,chai-thô,chai-thô,chai4-tho1,[tsai˥˥] [tʰo˨˦],koh chài thoa,koh chài thoa,chaithô,再拖,koh再拖,再拖
210,châi-thung,châi-thung,chai1-thung4,[tsai˨˦] [tʰuŋ˥˥],chaithiàⁿ,chai-thiàⁿ,châithung,災痛,災痛,災痛
211,chai-vu,chai-vu,chai4-vu4,[tsai˥˥] [ʋu˥˥],chèbū,chè-bū,chaivu,債務,債務,債務
212,chai-yit-pái,chai-yit-pái,chai4-yit6-pai3,[tsai˥˥] [it̚˨] [pai˧˩],koh chi̍t pái,koh chi̍t pái,chaiyitpái,再一擺,koh一pái,再一次
213,châi-yông,châi-yông,chai1-yong1,[tsai˨˦] [ioŋ˨˦],chaiiong,chai-iong,châiyông,災殃,災殃,災殃
214,chai-yû,chai-yû,chai4-yu1,[tsai˥˥] [iu˨˦],koh chài ū,koh chài ū,chaiyû,再有,koh再有,再有
215,chak-chak,chak-chak,chak6-chak6,[tsak̚˨] [tsak̚˨],ta̍k chiah,ta̍k chiah,chakchak,隻隻,ta̍k隻,每隻
216,chak-chhà,chak-chhà,chak6-chha2,[tsak̚˨] [tsʰa˩˩],hiâⁿ tê,hiâⁿ tê,chak chhà,炙茶,hiâⁿ茶,煮茶
217,chak-chhiang,chak-chhiang,chak6-chhiang4,[tsak̚˨] [tɕʰiaŋ˥˥],tiah liáu,tiah liáu,chakchhiang,摘淨,摘了,摘完
218,chak-fái,chak-fái,chak6-fai3,[tsak̚˨] [fai˧˩],teh pháiⁿ,teh pháiⁿ,chakfái,磧壞,teh pháiⁿ,壓壞
219,chak-fó,chak-fó,chak6-fo3,[tsak̚˨] [fo˧˩],hóethòaⁿ hóe hang sio,hóe-thòaⁿ hóe hang sio,chak fó,炙火,火炭火烘燒,用燒熱的木炭取暖
220,chak-hi,chak-hi,chak6-hi4,[tsak̚˨] [hi˥˥],tiah khì,tiah khì,chakhi,摘去,摘去,摘去
221,chak-kâm-é,chak-kâm-é,chak6-kam1-e3,[tsak̚˨] [kam˨˦] [e˧˩],bán kam'á,bán kam-á,chakkâm'é,摘柑é,挽柑á,摘橘子
222,chak-ko,chak-ko,chak6-ko4,[tsak̚˨] [ko˥˥],tiahkòe,tiah-kòe,chakko,摘過,摘過,摘過
223,chak-ngit-thèu,chak-ngit-thèu,chak6-ngit6-theu2,[tsak̚˨] [ɲit̚˨] [tʰeu˩˩],pha̍k ji̍tthâu,pha̍k ji̍t-thâu,chak ngitthèu,炙日頭,pha̍k日頭,曬太陽
224,chak-ngiuk,chak-ngiuk,chak6-ngiuk6,[tsak̚˨] [ɲiuk̚˨],hangbah,hang-bah,chakngiuk,炙肉,烤肉,烤肉
225,chak-nôn,chak-nôn,chak6-non1,[tsak̚˨] [non˨˦],hang sio,hang sio,chak nôn,炙暖,烘燒,取暖
226,chak-sí,chak-sí,chak6-si3,[tsak̚˨] [ɕi˧˩],teh sí,teh sí,chaksí,磧死,teh死,壓死
227,chak-sui,chak-sui,chak6-sui4,[tsak̚˨] [sui˥˥],teh chhùi,teh chhùi,chaksui,磧碎,teh碎,壓碎
228,chak-tén,chak-tén,chak6-ten3,[tsak̚˨] [ten˧˩],teh tio̍h,teh tio̍h,chaktén,磧著,teh tio̍h,壓著
229,chak-thet,chak-thet,chak6-thet6,[tsak̚˨] [tʰet̚˨],tiah tiāu,tiah tiāu,chakthet,摘掉,摘掉,摘掉
230,chak-to,chak-to,chak6-to4,[tsak̚˨] [to˥˥],teh tio̍h,teh tio̍h,chakto,磧到,teh tio̍h,壓到
231,chak-to,chak-to,chak6-to4,[tsak̚˨] [to˥˥],bán tio̍h,bán tio̍h,chakto,摘到,挽tio̍h,摘到
232,chak-tó,chak-tó,chak6-to3,[tsak̚˨] [to˧˩],teh tio̍h,teh tio̍h,chak tó,磧tó,teh tio̍h,壓到
233,chak-vang,chak-vang,chak6-vang4,[tsak̚˨] [ʋaŋ˥˥],teh tó,teh tó,chakvang,磧橫,teh倒,壓倒
234,chám-chhiên-tô,chám-chhiên-tô,cham3-chhien1-to1,[tsam˧˩] [tɕʰien˨˦] [to˨˦],chám chhian to,chám chhian to,chámchhiêntô,斬千刀,斬千刀,殺千刀
235,cham-hi,cham-hi,cham4-hi4,[tsam˥˥] [hi˥˥],chiàmkhì,chiàm-khì,chamhi,佔去,佔去,佔去
236,cham-liâng,cham-liâng,cham4-liang1,[tsam˥˥] [liaŋ˨˦],chiàmniá,chiàm-niá,chamliâng,佔領,佔領,佔領
237,cham-lòi,cham-lòi,cham4-loi2,[tsam˥˥] [loi˩˩],chiàm lâi,chiàm lâi,chamlòi,佔來,佔來,佔來
238,cham-tén,cham-tén,cham4-ten3,[tsam˥˥] [ten˧˩],chiàm leh,chiàm leh,chamtén,佔著,佔leh,佔著
239,chhâm-tén,chhâm-tén,chham1-ten3,[tsʰam˨˦] [ten˧˩],thèⁿ leh,thèⁿ leh,chhâm tén,攙等,撐leh,以手掌撐著
240,chám-thet,chám-thet,cham3-thet6,[tsam˧˩] [tʰet̚˨],chám tiāu,chám tiāu,chámthet,斬掉,斬掉,斬掉
241,chám-thèu,chám-thèu,cham3-theu2,[tsam˧˩] [tʰeu˩˩],chám thâu,chám thâu,chámthèu,斬頭,斬頭,砍頭
242,cham-thi,cham-thi,cham4-thi4,[tsam˥˥] [tʰi˥˥],chiàm tē,chiàm tē,chamthi,佔地,佔地,佔地
243,chám-thôn,chám-thôn,cham3-thon1,[tsam˧˩] [tʰon˨˦],chám tn̄g,chám tn̄g,chámthôn,斬斷,斬斷,砍斷
244,cham-to,cham-to,cham4-to4,[tsam˥˥] [to˥˥],chiàm kah,chiàm kah,chamto,佔到,佔kah,佔到
245,cham-tó,cham-tó,cham4-to3,[tsam˥˥] [to˧˩],chiàm tio̍h,chiàm tio̍h,chamtó,佔到,佔tio̍h,佔到
246,chám-yèn,chám-yèn,cham3-yen2,[tsam˧˩] [ien˩˩],chámjiân,chám-jiân,chámyèn,嶄然,嶄然,相當
247,cham-yû,cham-yû,cham4-yu1,[tsam˥˥] [iu˨˦],chiàmiú,chiàm-iú,chamyû,佔有,佔有,佔有
248,chân-chân,chân-chân,chan1-chan1,[tsan˨˦] [tsan˨˦],lámsin,lám-sin,chânchân,孱孱,lám身,孱弱
249,chan-chên,chan-chên,chan4-chen1,[tsan˥˥] [tsen˨˦],chiàncheng,chiàn-cheng,chanchên,戰爭,戰爭,戰爭
250,chan-chhâ,chan-chhâ,chan4-chha1,[tsan˥˥] [tsʰa˨˦],chiànchhia,chiàn-chhia,chanchhâ,戰車,戰車,戰車
251,chan-chhòng,chan-chhòng,chan4-chhong2,[tsan˥˥] [tsʰoŋ˩˩],chiàntiûⁿ,chiàn-tiûⁿ,chanchhòng,戰場,戰場,戰場
252,chan-chhù,chan-chhù,chan4-chhu2,[tsan˥˥] [tsʰu˩˩],óaⁿtû,óaⁿ-tû,chanchhù,棧櫥,碗櫥,碗櫥
253,chan-fó,chan-fó,chan4-fo3,[tsan˥˥] [fo˧˩],chiànhóe,chiàn-hóe,chanfó,戰火,戰火,戰火
254,chan-hi,chan-hi,chan4-hi4,[tsan˥˥] [hi˥˥],lián khì,lián khì,chanhi,輾去,輾去,輾去
255,chan-hò,chan-hò,chan4-ho2,[tsan˥˥] [ho˩˩],chiànhô,chiàn-hô,chanhò,戰壕,戰壕,戰壕
256,chan-kap,chan-kap,chan4-kap6,[tsan˥˥] [kap̚˨],chiànkah,chiàn-kah,chankap,戰甲,戰甲,戰甲
257,chan-khì,chan-khì,chan4-khi2,[tsan˥˥] [kʰi˩˩],chiànkî,chiàn-kî,chankhì,戰旗,戰旗,戰旗
258,chan-khôi,chan-khôi,chan4-khoi1,[tsan˥˥] [kʰoi˨˦],lián khui,lián khui,chankhôi,碾開,lián開,碾開
259,chán-khôi,chán-khôi,chan3-khoi1,[tsan˧˩] [kʰoi˨˦],thí khui,thí khui,chánkhôi,展開,thí開,展開
260,chan-ki,chan-ki,chan4-ki4,[tsan˥˥] [ki˥˥],chiànki,chiàn-ki,chanki,戰機,戰機,戰機
261,chan-ko,chan-ko,chan4-ko4,[tsan˥˥] [ko˥˥],lián kòe,lián kòe,chanko,輾過,輾過,輾過
262,chan-kú,chan-kú,chan4-ku3,[tsan˥˥] [ku˧˩],chiànkó͘,chiàn-kó͘,chankú,戰鼓,戰鼓,戰鼓
263,chan-kûng,chan-kûng,chan4-kung1,[tsan˥˥] [kuŋ˨˦],chiànkong,chiàn-kong,chankûng,戰功,戰功,戰功
264,chan-li-phín,chan-li-phín,chan4-li4-phin3,[tsan˥˥] [li˥˥] [pʰin˧˩],chiànlīphín,chiàn-līp-hín,chanliphín,戰利品,戰利品,戰利品
265,chan-li̍t,chan-li̍t,chan4-lit5,[tsan˥˥] [lit̚˥],chiànle̍k,chiàn-le̍k,chanli̍t,戰力,戰力,戰力
266,chan-lòi,chan-lòi,chan4-loi2,[tsan˥˥] [loi˩˩],lián lâi,lián lâi,chanlòi,輾來,lián來,輾來
267,chan-lon,chan-lon,chan4-lon4,[tsan˥˥] [lon˥˥],chiànloān,chiàn-loān,chanlon,戰亂,戰亂,戰亂
268,chan-mâ,chan-mâ,chan4-ma1,[tsan˥˥] [ma˨˦],chiànbé,chiàn-bé,chanmâ,戰馬,戰馬,戰馬
269,chan-mî,chan-mî,chan4-mi1,[tsan˥˥] [mi˨˦],chànbí,chàn-bí,chanmî,讚美,讚美,讚美
270,chan-phai,chan-phai,chan4-phai4,[tsan˥˥] [pʰai˥˥],chiàn pāi,chiàn pāi,chanphai,戰敗,戰敗,戰敗
271,chan-phàu,chan-phàu,chan4-phau2,[tsan˥˥] [pʰau˩˩],chiànphâu,chiàn-phâu,chanphàu,戰袍,戰袍,戰袍
272,chan-phiàng,chan-phiàng,chan4-phiang2,[tsan˥˥] [pʰiaŋ˩˩],lián pêⁿ,lián pêⁿ,chanphiàng,輾平,lián平,輾平
273,chan-sa̍k-thèu,chan-sa̍k-thèu,chan4-sak5-theu2,[tsan˥˥] [sak̚˥] [tʰeu˩˩],lián chio̍hthâu,lián chio̍h-thâu,chansa̍kthèu,輾石頭,輾石頭,輾石頭
274,chan-sâm,chan-sâm,chan4-sam1,[tsan˥˥] [sam˨˦],chiànsaⁿ,chiàn-saⁿ,chansâm,戰衫,戰衫,戰衣
275,chan-sí,chan-sí,chan4-si3,[tsan˥˥] [ɕi˧˩],chiàn sí,chiàn sí,chansí,戰死,戰死,戰死
276,chan-sòn,chan-sòn,chan4-son2,[tsan˥˥] [son˩˩],chiànchûn,chiàn-chûn,chansòn,戰船,戰船,戰船
277,chan-sṳ,chan-sṳ,chan4-sii4,[tsan˥˥] [sɨ˥˥],chiànsū,chiàn-sū,chansṳ,戰士,戰士,戰士
278,chan-sui,chan-sui,chan4-sui4,[tsan˥˥] [sui˥˥],lián chhùi,lián chhùi,chansui,輾碎,輾碎,輾碎
279,chan-sṳ̀n,chan-sṳ̀n,chan4-siin2,[tsan˥˥] [sɨn˩˩],chànsêng,chàn-sêng,chansṳ̀n,贊成,贊成,贊成
280,chan-teu,chan-teu,chan4-teu4,[tsan˥˥] [teu˥˥],chiàntàu,chiàn-tàu,chanteu,戰鬥,戰鬥,戰鬥
281,chan-thi,chan-thi,chan4-thi4,[tsan˥˥] [tʰi˥˥],chiàntē,chiàn-tē,chanthi,戰地,戰地,戰地
282,chan-to,chan-to,chan4-to4,[tsan˥˥] [to˥˥],lián tio̍h,lián tio̍h,chanto,輾到,lián tio̍h,輾到
283,chan-yéng,chan-yéng,chan4-yeng3,[tsan˥˥] [ieŋ˧˩],chiàn iâⁿ,chiàn iâⁿ,chanyéng,戰贏,戰贏,戰贏
284,chán-yi̍t,chán-yi̍t,chan3-yit5,[tsan˧˩] [it̚˥],thí si̍t,thí si̍t,chányi̍t,展翼,thí翼,展翅
285,chan-yòng,chan-yòng,chan4-yong2,[tsan˥˥] [ioŋ˩˩],chàniông,chàn-iông,chanyòng,讚揚,讚揚,讚揚
286,châng-chhâ,châng-chhâ,chang1-chha1,[tsaŋ˨˦] [tsʰa˨˦],chengchha,cheng-chha,chângchhâ,爭差,精差,相差
287,chang-chho̍k,chang-chho̍k,chang4-chhok5,[tsaŋ˥˥] [tsʰok̚˥],chiah tio̍h,chiah tio̍h,changchho̍k,正著/nang著,chiah tio̍h,才對
288,chang-cho-tet,chang-cho-tet,chang4-cho4-tet6,[tsaŋ˥˥] [tso˥˥] [tet̚˨],chiah ē sái,chiah ē sái,chang chotet,正做得,chiah ē sái,才可以
289,chang-he,chang-he,chang4-he4,[tsaŋ˥˥] [he˥˥],chiah sī,chiah sī,changhe,正係/nang係,chiah是,才是
290,chang-hó,chang-hó,chang4-ho3,[tsaŋ˥˥] [ho˧˩],chiah hó,chiah hó,changhó,正好/nang好,chiah好,才好
291,châng-khièn,châng-khièn,chang1-khien2,[tsaŋ˨˦] [kʰien˩˩],cheng koân,cheng koân,châng khièn,爭權,爭權,爭權
292,chang-li̍t,chang-li̍t,chang4-lit5,[tsaŋ˥˥] [lit̚˥],chīnla̍t,chīn-la̍t,changli̍t,掙力,盡力,努力爭取
293,châng-ngie̍t,châng-ngie̍t,chang1-ngiet5,[tsaŋ˨˦] [ɲiet̚˥],chiaⁿ goe̍h,chiaⁿ goe̍h,chângn gie̍t,正月,正月,正月
294,Chang-ngie̍t-pan,Chang-ngie̍t-pan,Chang4-ngiet5-pan4,[tsaŋ˥˥] [ɲiet̚˥] [pan˥˥],Chiaⁿge̍h pòaⁿ,Chiaⁿ-ge̍h pòaⁿ,Changngie̍t pan,正月半,正月半,元宵節
295,châng-sṳ̍t,châng-sṳ̍t,chang1-siit5,[tsaŋ˨˦] [sɨt̚˥],cheⁿ chia̍h,cheⁿ chia̍h,châng sṳ̍t,爭食,爭食,爭食
296,châng-tén,châng-tén,chang1-ten3,[tsaŋ˨˦] [ten˧˩],teh cheⁿ,teh cheⁿ,châng tén,爭著,teh爭,爭著
297,châng-thot,châng-thot,chang1-thot6,[tsaŋ˨˦] [tʰot̚˨],chengthoat,cheng-thoat,chângthot,掙脫,掙脫,掙脫
298,châng-to,châng-to,chang1-to4,[tsaŋ˨˦] [to˥˥],cheⁿ kah,cheⁿ kah,châng to,爭到,爭kah,爭到
299,châng-yéng,châng-yéng,chang1-yeng3,[tsaŋ˨˦] [ieŋ˧˩],cheⁿ iâⁿ,cheⁿ iâⁿ,châng yéng,爭贏,爭贏,爭贏
300,chap,chap,chap6,[tsap̚˨],chòng,chòng,chap,砸,壯,壯
301,chap-chen,chap-chen,chap6-chen4,[tsap̚˨] [tsen˥˥],kiôngchòng,kiông-chòng,chapchen,砸磳,強壯,強壯
302,chap-cho,chap-cho,chap6-cho4,[tsap̚˨] [tso˥˥],chih chò,chih chò,chapcho,摺做,摺做,摺做
303,chap-chṳ́,chap-chṳ́,chap6-chii3,[tsap̚˨] [tsɨ˧˩],chih chóa,chih chóa,chapchṳ́,摺紙,摺紙,摺紙
304,chap-hó,chap-hó,chap6-ho3,[tsap̚˨] [ho˧˩],chih hó,chih hó,chaphó,折好,折好,折好
305,chat-kón,chat-kón,chat6-kon3,[tsat̚˨] [kon˧˩],khún tiūchháu,khún tiū-chháu,chat kón,紮稈,捆稻草,綑綁稻草
306,chap-sâm-fu,chap-sâm-fu,chap6-sam1-fu4,[tsap̚˨] [sam˨˦] [fu˥˥],chih saⁿ'ákhò͘,chih saⁿ-ák-hò͘,chapsâmfu,摺衫褲,chih衫á褲,摺衣服
307,chat-yéng,chat-yéng,chat6-yeng3,[tsat̚˨] [ieŋ˧˩],chat'iâⁿ,chat-iâⁿ,chatyéng,紮營,紮營,紮營
308,chat-ho̍k-kâ,chat-ho̍k-kâ,chat6-hok5-ka1,[tsat̚˨] [hok̚˥] [ka˨˦],tiatha̍k ka,tiat-ha̍k ka,chatho̍kkâ,哲學家,哲學家,哲學家
309,châu-châu,châu-châu,chau1-chau1,[tsau˨˦] [tsau˨˦],tasò,ta-sò,châuchâu,燥燥,ta燥,非常乾燥
310,châu-chhèu,châu-chhèu,chau1-chheu2,[tsau˨˦] [tsʰeu˩˩],ta chhâ,ta chhâ,châu chhèu,燥柴,ta柴,乾柴
311,châu-chhó,châu-chhó,chau1-chho3,[tsau˨˦] [tsʰo˧˩],tachháu,ta-chháu,châuchhó,燥草,ta草,乾草
312,châu-chiáng,châu-chiáng,chau1-chiang3,[tsau˨˦] [tɕiaŋ˧˩],ta chéⁿ,ta chéⁿ,châu chiáng,燥井,ta井,乾井
313,châu-hâng,châu-hâng,chau1-hang1,[tsau˨˦] [haŋ˨˦],ta kheⁿ,ta kheⁿ,châu hâng,燥坑,ta坑,乾坑
314,châu-hip,châu-hip,chau1-hip6,[tsau˨˦] [hip̚˨],tahip,ta-hip,châuhip,燥hip,tahip,乾悶
315,châu-hôn,châu-hôn,chau1-hon1,[tsau˨˦] [hon˨˦],khòngōaⁿ,khòng-ōaⁿ,châuhôn,燥旱,炕旱,乾旱
316,châu-hot,châu-hot,chau1-hot6,[tsau˨˦] [hot̚˨],takhoah,tak-hoah,châuhot,燥渴,ta渴,乾渴
317,châu-kón,châu-kón,chau1-kon3,[tsau˨˦] [kon˧˩],ta koáiⁿ,ta koáiⁿ,châu kón,燥稈,ta稈,乾稈
318,châu-kut,châu-kut,chau1-kut6,[tsau˨˦] [kut̚˨],ta kut,ta kut,châu kut,燥骨,ta骨,枯骨
319,châu-lu,châu-lu,chau1-lu4,[tsau˨˦] [lu˥˥],ta lō͘2,ta lō͘2,châu lu,燥路,ta路,乾路
320,châu-mien,châu-mien,chau1-mien4,[tsau˨˦] [mien˥˥],ta mī,ta mī,châu mien,燥麵,乾麵,乾麵
321,châu-nài,châu-nài,chau1-nai2,[tsau˨˦] [nai˩˩],ta thô͘,ta thô͘,châu nài,燥泥,ta土,乾泥
322,châu-sí,châu-sí,chau1-si3,[tsau˨˦] [ɕi˧˩],ta sí,ta sí,châu sí,燥死,ta死,乾死
323,châu-sî-sî,châu-sî-sî,chau1-si1-si1,[tsau˨˦] [ɕi˨˦] [ɕi˨˦],ta sòsò,ta sò-sò,châusîsî,燥絲絲,ta sòsò,極為乾燥
324,châu-sóng,châu-sóng,chau1-song3,[tsau˨˦] [soŋ˧˩],tasóng,ta-sóng,châusóng,燥爽,ta爽,乾爽
325,châu-tha̍p,châu-tha̍p,chau1-thap5,[tsau˨˦] [tʰap̚˥],chauthat,chau-that,châutha̍p,蹧踏,蹧踏,蹧踏
326,châu-thet,châu-thet,chau1-thet6,[tsau˨˦] [tʰet̚˨],ta tiāu,ta tiāu,châu thet,燥忒,ta tiāu,乾掉
327,châu-thi,châu-thi,chau1-thi4,[tsau˨˦] [tʰi˥˥],ta tē,ta tē,châu thi,燥地,ta地,乾地
328,cháu-yông,cháu-yông,chau3-yong1,[tsau˧˩] [ioŋ˨˦],jiàu chiūⁿ,jiàu chiūⁿ,cháuyông,爪癢,抓癢,抓癢
329,ché,ché,che3,[tse˧˩],bái,bái,ché,奀,bái,醜
330,chém,chém,chem3,[tsem˧˩],khap,khap,chém,揝,khap,蓋
331,chém-yin,chém-yin,chem3-yin4,[tsem˧˩] [in˥˥],khapìn,kha-pìn,chémyin,揝印,khap印,蓋印章
332,chên-chan,chên-chan,chen1-chan4,[tsen˨˦] [tsan˥˥],chengchiàn,cheng-chiàn,chênchan,爭戰,爭戰,爭戰
333,chên-chhâi,chên-chhâi,chen1-chhai1,[tsen˨˦] [tsʰai˨˦],chengchha,cheng-chha,chênchhâi,爭差,精差,相差
334,chên-chhàu,chên-chhàu,chen1-chhau2,[tsen˨˦] [tsʰau˩˩],chengchhá,cheng-chhá,chênchhàu,爭吵,爭吵,爭吵
335,chên-chhí,chên-chhí,chen1-chhi3,[tsen˨˦] [tɕʰi˧˩],chengchhú,cheng-chhú,chênchhí,爭取,爭取,爭取
336,chên-chhióng,chên-chhióng,chen1-chhiong3,[tsen˨˦] [tɕʰioŋ˧˩],cheⁿchhiúⁿ,cheⁿ-chhiúⁿ,chênchhióng,爭搶,爭搶,爭搶
337,chen-chóng,chen-chóng,chen4-chong3,[tsen˥˥] [tsoŋ˧˩],chengtióng,cheng-tióng,chenchóng,增長,增長,增長
338,chen-chṳ,chen-chṳ,chen4-chii4,[tsen˥˥] [tsɨ˥˥],ū chìkhì,ū chì-khì,chenchṳ,增志,有志氣,爭氣
339,chên-chṳp,chên-chṳp,chen1-chiip6,[tsen˨˦] [tsɨp̚˨],chengchip,cheng-chip,chênchṳp,爭執,爭執,爭執
340,chen-kâ,chen-kâ,chen4-ka1,[tsen˥˥] [ka˨˦],chengka,cheng-ka,chenkâ,增加,增加,增加
341,chen-kám,chen-kám,chen4-kam3,[tsen˥˥] [kam˧˩],cheng kiám,cheng kiám,chenkám,增減,增減,增減
342,chên-lun,chên-lun,chen1-lun4,[tsen˨˦] [lun˥˥],chenglūn,cheng-lūn,chênlun,爭論,爭論,爭論
343,chên-nau,chên-nau,chen1-nau4,[tsen˨˦] [nau˥˥],chengnāu,cheng-nāu,chênnau,爭鬧,爭鬧,爭鬧
344,chen-sán,chen-sán,chen4-san3,[tsen˥˥] [san˧˩],chengsán,cheng-sán,chensán,增產,增產,增產
345,chên-siung,chên-siung,chen1-siung4,[tsen˨˦] [ɕiuŋ˥˥],chengsiōng,cheng-siōng,chênsiung,爭訟,爭訟,爭訟
346,chên-sûn,chên-sûn,chen1-sun1,[tsen˨˦] [sun˨˦],chengsun,cheng-sun,chênsûn,曾孫,曾孫,曾孫
347,chen-sung,chen-sung,chen4-sung4,[tsen˥˥] [suŋ˥˥],chēngsàng,chēng-sàng,chensung,贈送,贈送,贈送
348,chên-teu,chên-teu,chen1-teu4,[tsen˨˦] [teu˥˥],chengtàu,cheng-tàu,chênteu,爭鬥,爭鬥,爭鬥
349,chen-tô,chen-tô,chen4-to1,[tsen˥˥] [to˨˦],chengto,cheng-to,chentô,增多,增多,增多
350,chên-tôn,chên-tôn,chen1-ton1,[tsen˨˦] [ton˨˦],chengtoan,cheng-toan,chêntôn,爭端,爭端,爭端
351,chet-ho̍k,chet-ho̍k,chet6-hok5,[tset̚˨] [hok̚˥],tiatha̍k,tiat-ha̍k,chetho̍k,哲學,哲學,哲學
352,chet-kok,chet-kok,chet6-kok6,[tset̚˨] [kok̚˨],kaklo̍h,kak-lo̍h,chetkok,側角,角落,角落
353,cheu-chhut,cheu-chhut,cheu4-chhut6,[tseu˥˥] [tsʰut̚˨],chiò chhut,chiò chhut,cheuchhut,照出,照出,照出
354,chéu-chhut,chéu-chhut,cheu3-chhut6,[tseu˧˩] [tsʰut̚˨],cháu chhut khì,cháu chhut khì,chéuchhut,走出,走出去,跑出
355,chêu-chi,chêu-chi,cheu1-chi4,[tseu˨˦] [tɕi˥˥],tiâuchè,tiâu-chè,chêuchi,朝祭,朝祭,朝祭
356,chéu-è,chéu-è,cheu3-e2,[tseu˧˩] [e˩˩],cháu à,cháu à,chéu è,走了,走à,走了
357,chêu-fû,chêu-fû,cheu1-fu1,[tseu˨˦] [fu˨˦],chioho͘,chio-ho͘,chêufû,招呼,招呼,招呼
358,chéu-hi,chéu-hi,cheu3-hi4,[tseu˧˩] [hi˥˥],cháu khì,cháu khì,chéuhi,走去,走去,跑去
359,chéu-khôi,chéu-khôi,cheu3-khoi1,[tseu˧˩] [kʰoi˨˦],cháu khui,cháu khui,chéukhôi,走開,走開,跑走
360,chéu-kiéu,chéu-kiéu,cheu3-kieu3,[tseu˧˩] [kieu˧˩],cháukáu,cháu-káu,chéukiéu,走狗,走狗,走狗
