ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
1925,chiap-ngim,chiapngim,接任,chiapjīm,接任,接任
1926,chiap-ngi̍p,chiap ngi̍p,接入,chiap ji̍p,接入,接入
1927,chiap-phung,chiapphung,接縫,chiapphāng,接縫,接縫
1928,chiap-sên,chiapsên,接生,chiapseⁿ,接生,接生
1929,chiap-sên-phò,chiapsên phò,接生婆,sánpô,產婆,接生婆
1930,chiap-siu̍k,chiapsiu̍k,接續,chiapsòa,接續,接續
1931,chiap-su,chiapsu,接受,chiapsiū,接受,接受
1932,chiap-sû,chiapsû,接收,chiapsiu,接收,接收
1933,chiap-tén,chiap tén,接著,chiap leh,接leh,接著
1934,chiap-thai,chiapthai,接待,chiapthāi,接待,接待
1935,chiap-tó,chiap tó,接到,chiap tio̍h,接到,接到
1936,chiap-yin,chiapyin,接應,chiapèng,接應,接應
1937,chiáu-me̍t,chiáume̍t,剿滅,châubia̍t,剿滅,剿滅
1938,chiâu-sa̍k,chiâusa̍k,礁石,chiâuchio̍h,礁石,礁石
1939,chiáu-thet,chiáu thet,剿忒,châu tiāu,剿掉,剿掉
1940,chién-liû-é,chiénliû'é,剪綹é,chiánliú'á,剪鈕á,扒手
1941,chiên-cho,chiên cho,煎做,chian chò,煎做,煎做
1942,chién-ko,chién ko,剪過,chián kòe,剪過,剪過
1943,chién-mô,chién mô,剪毛,chián mo͘,剪毛,剪毛
1944,chiên-ǹg-é,chiên ǹg'é,煎魚é,chian hî'á,煎魚á,煎魚
1945,chien-pá,chien pá,箭靶,chìⁿ pà,箭靶,箭靶
1946,chiên-phàn,chiên phàn,煎盤,chian pôaⁿ,煎盤,煎盤
1947,chién-pu,chién pu,剪布,chián pò͘,剪布,剪布
1948,chien-sú,chien sú,箭手,chìⁿ chhiú,箭手,箭手
1949,chién-thet,chién thet,剪掉,chián tiāu,剪掉,剪掉
1950,chien-thèu,chien thèu,箭頭,chìⁿ thâu,箭頭,箭頭
1951,chien-thoi,chien thoi,箭袋,chìⁿ tē,箭袋,箭袋
1952,chién-thôn,chién thôn,剪斷,chián tn̄g,剪斷,剪斷
1953,chién-tô,chiéntô,剪刀,chiánto,剪刀,剪刀
1954,chién-tón,chién tón,剪短,chián té,剪短,剪短
1955,chién-yòng-mô-chhòng,chiényòngmôchhòng,剪羊毛場,chián iûⁿ mo͘ tiûⁿ,剪羊毛場,剪羊毛場
1956,chiet-chṳ,chietchṳ,節制,chiatchè,節制,節制
1957,chiet-chṳ́,chietchṳ́,截止,chia̍tchí,截止,截止
1958,chiet-hi,chiethi,節氣,chiatkhì,節氣,節氣
1959,chiet-khì,chietkhì,節期,chiatkî,節期,節期
1960,chiet-kui,chietkui,節季,chiatkùi,節季,節季
1961,chiet-lin,chietlin,節令,chiatlēng,節令,節令
1962,chiet-muk,chietmuk,節目,chiatbo̍k,節目,節目
1963,chiet-ngit,chietngit,節日,chehji̍t,節日,節日
1964,chîm-choi,chîmchoi,chîm嘴,chimchhùi,chîm嘴,親嘴
1965,chim-ko,chim ko,浸過,chìm kòe,浸過,浸過
1966,chîm-ko,chîm ko,唚過,chim kòe,唚過,吻過
1967,chîm-mien,chîm mien,唚面,chim bīn,唚面,吻臉
1968,chim-sí,chim sí,浸死,im sí,淹死,淹死
1969,chîm-sú,chîm sú,唚手,chim chhiú,唚手,吻手
1970,chim-súi,chim súi,浸水,chìm chúi,浸水,浸水
1971,chim-tén,chim tén,浸著,chìm leh,浸著,浸著
1972,chim-tó,chim tó,浸到,chìm tio̍h,浸到,浸到
1973,chim-yàm-súi,chi yàmsúi,浸鹽水,chìm iâmchúi,浸鹽水,浸鹽水
1974,chîn-chhái,chînchhái,精采,chengchhái,精采,精采
1975,chîn-chṳ,chînchṳ,精緻,iùlō͘,精緻,精緻
1976,chîn-fà,chînfà,精華,chenghôa,精華,精華
1977,chin-fam,chinfam,進犯,chìn hoān,進犯,進犯
1978,chin-hàng,chinhàng,進行,chìnhêng,進行,進行
1979,chin-khiéu,chinkhiéu,進口,chìnkháu,進口,進口
1980,chîn-kiok,chînkiok,精腳,chengbêng,精明,精明
1981,chîn-kuk,chînkuk,精榖,pásūi,飽穗,飽滿的稻穀
1982,chin-kung,chinkung,進貢,chìnkòng,進貢,進貢
1983,chin-kûng,chinkûng,進攻,chìnkong,進攻,進攻
1984,chîn-lien,chînlien,精練,chengliān,精練,精練
1985,chîn-lìn,chînlìn,精靈,chenglêng,精靈,精靈
1986,chîn-mìn,chînmìn,精明,chengbêng,精明,精明
1987,chin-ngi̍p,chin ngi̍p,進入,chìn ji̍p,進入,進入
1988,chin-phu,chinphu,進步,chìnpō͘,進步,進步
1989,chin-siû,chinsiû,進修,chìnsiu,進修,進修
1990,chîn-sṳ̀n,chînsṳ̀n,精神,chengsîn,精神,精神
1991,chîn-thûng,chînthûng,精通,chengthong,精通,精通
1992,chiông-chhiu,chiôngchhiu,將就,chiongchiū,將就,將就
1993,chióng-kîm,chióngkîm,獎金,chióngkim,獎金,獎金
1994,chiông-kiûn,chiôngkiûn,將軍,chiongkun,將軍,將軍
1995,chiong-kôn,chiongkôn,將官,chiòngkoaⁿ,將官,將官
1996,chióng-li,chióngli,獎勵,chiónglē,獎勵,獎勵
1997,chiông-lòi,chiônglòi,將來,chionglâi,將來,將來
1998,chióng-sóng,chióngsóng,獎賞,chióngsiúⁿ,獎賞,獎賞
1999,chit-chhùn,chitchhùn,積存,chekchûn,積存,積存
2000,chit-mun,chitmun,責問,chekmn̄g,責問,責問
2001,chit-ngim,chitngim,責任,chekjīm,責任,責任
2002,chit-ok,chit ok,積惡,chek ok,積惡,積惡
2003,chit-phi,chitphi,責備,chekpī,責備,責備
2004,chit-san,chitsan,積善,cheksiān,積善,積善
2005,chit-sṳ̀,chitsṳ̀,即時,cheksî,即時,即時
2006,chiú-âng,chiú âng,酒盎,chiú àng,酒盎,酒甕
2007,chiú-chhò,chiú chhò,酒槽,chiú chô,酒槽,酒槽
2008,chiú-chui,chiúchui,酒醉,chiúchùi,酒醉,醉酒
2009,chiú-fù,chiú fù,酒壺,chiú ô͘,酒壺,酒壺
2010,chiú-kúi,chiúkúi,酒鬼,chiúkúi,酒鬼,酒鬼
2011,chiú-mi,chiú mi,酒味,chiú bī,酒味,酒味
2012,chiú-ngòng,chiú ngòng,酒釀,chiútiⁿ,酒甜,酒釀
2013,chiú-pî,chiúpî,酒杯,chiú poe,酒杯,酒杯
2014,chiú-siên,chiú siên,酒仙,chiú sian,酒仙,酒仙
2015,chiú-si̍t,chiúsi̍t,酒席,chiúse̍k,酒席,酒席
2016,chiú-thúng,chiú thúng,酒桶,chiú tháng,酒桶,酒桶
2017,chiuk-ngie̍t,chiuk ngie̍t,足月,chiok goe̍h,足月,足月
2018,chiuk-siong,chiuksiong,足相,ko͘ta̍k,孤ta̍k,孤僻
2019,chiúng-é,chiúng'é,粽é,chàng,粽,粽子
2020,chiúng-fái-thet,chiúng fáithet,寵壞忒,sēng pháiⁿ khì,sēng pháiⁿ去,寵壞了
2021,chiûng-chiak,chiûngchiak,蹤跡,hûnjiah,痕跡,蹤跡
2022,chó-am,chóam,早暗,cháàm,早暗,早晚
2023,cho-châi-é,cho châi'é,做齋é,chò saikong,做司公,做法事
2024,cho-chhâ,cho chhâ,做差,chò chha,做差,做差
2025,cho-chhe̍t,chochhe̍t,做賊,chò chha̍t,做賊,做賊
2026,chó-chhiu,chóchhiu,早就,chá to̍h,早to̍h,早就
2027,cho-chho̍k,cho chho̍k,做著,chò tio̍h,做tio̍h,做對
2028,cho-chhut,cho chhut,做出,chò chhut,做出,做出
2029,cho-chiú,cho chiú,做酒,chò chiú,做酒,釀酒
2030,chó-chó,chóchó,早早,cháchá,早早,早早
2031,cho-chú,chochú,做主,chò chú,做主,做主
2032,cho-chṳn,chochṳn,做證,chòchèng,做證,做證
2033,cho-fán,chofán,造反,chōhoán,造反,造反
2034,cho-fap,chofap,做法,chòhoat,做法,做法
2035,cho-fu,cho fu,做褲,chò khò͘,做褲,做褲
2036,cho-hâ,chohâ,灶下,chàukha,灶kha,廚房
2037,cho-hak,cho hak,做客,chò kheh,做客,做客
2038,cho-hi,cho hi,做戲,chò hì,做戲,做戲
