ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
14963,ván-fì,vánfì,挽回,bánhôe,挽回,挽回
14964,ván-sú,ván sú,挽手,chhiú khan chhiú,手牽手,手牽手
14965,van-fuk,van fuk,萬福,bān hok,萬福,萬福
14966,van-sṳ-yì-yi,vansṳ yìyi,萬事如意,bānsū jû'ì,萬事如意,萬事如意
14967,van-fun,vanfun,萬份,bān hūn,萬份,萬份
14968,ván-hà,vánhà,晚霞,boánhâ,晚霞,晚霞
14969,vàn-he,vànhe,還係（南四縣）,iáu sī,iáu是,仍舊
14970,vàn-hó-sṳ̍t,vàn hósṳ̍t,還好食（南四縣）,iáu hóchia̍h,iáu好食,很好吃
14971,van-hong,van hong,萬項,bān hāng,萬項,萬項
14972,vân-khieu,vânkhieu,彎翹,oankhiàu,彎翹,彎翹
14973,vân-khiuk,vânkhiuk,彎曲,oankhiau,彎曲,彎曲
14974,van-kîm,van kîm,萬金,bān kim,萬金,萬金
14975,Van-kîm-chông,Vankîm chông,萬金庄,Bānkim chng,萬金庄,萬金庄（屏東ê地名）
14976,van-kiûn,van kiûn,萬軍,bān kun,萬軍,萬軍
14977,vân-ko-lòi,vân kolòi,彎過來,oan kòe lâi,彎過來,彎過來
14978,van-koet,vankoet,萬國,bānkok,萬國,萬國
14979,van-kon,vankon,萬貫,bānkoàn,萬貫,萬貫
14980,van-kú,vankú,萬古,bānkó͘,萬古,年代久遠
14981,vàn-kûng,vànkûng,完工,oânkang,完工,完工
14982,van-liông,van liông,萬兩,bān niú,萬兩,萬兩
14983,vân-lu,vân lu,彎路,oan lō͘,彎路,彎路
14984,van-mâ,van mâ,萬馬,bān bé,萬馬,萬馬
14985,Van-màn,Vanmàn,萬巒,Bānloân,萬巒,萬巒（地名）
14986,van-miàng,van miàng,萬名,bān miâ,萬名,萬名
14987,van-mìn,vanmìn,萬民,bānbîn,萬民,萬民
14988,van-nèn,vannèn,萬能,bānlêng,萬能,萬能
14989,van-ngièn,vanngièn,萬年,bānnî,萬年,萬年
14990,vàn-ngien,vànngien,還願,hênggoān,還願,還願
14991,van-ngièn-chhiâng,vanngiènchhiâng,萬年青,bānnîchheng,萬年青,萬年青
14992,vàn-ngien-chi,vànngien chi,還願祭,hênggoān chè,還願祭,還願祭
14993,van-ngìn,van ngìn,萬人,bān lâng,萬人,萬人
14994,van-ok,vanok,萬惡,bānok,萬惡,萬惡
14995,van-pân,vanpân,萬般,bānpoaⁿ,萬般,萬般
14996,van-chhong-kô-leù,vanchhong kôleù,萬丈高樓,bāntn̄g koânlâu,萬丈koân樓,萬丈高樓
14997,van-pâng,vanpâng,萬邦,bānpang,萬邦,萬邦
14998,Van-san-yà,Vansan yà,萬善爺,Iúeng kong,有應公,萬善爺
14999,van-siong,vansiong,萬象,bānsiōng,萬象,萬象
15000,van-soi,vansoi,萬歲,bānsòe,萬歲,萬歲
15001,van-sṳ,vansṳ,萬事,bānsū,萬事,萬事
15002,van-sṳ,vansṳ,萬世,bānsè,萬世,萬世
15003,van-sṳn,vansṳn,萬聖,bānsèng,萬聖,萬聖
15004,van-sṳ̀n,van sṳ̀n,萬神,bān sîn,萬神,萬神
15005,vàn-sṳ̀n,vànsṳ̀n,完成,oânsêng,完成,完成
15006,vàn-sṳ̀n,vàn sṳ̀n,還神,hêng sîn,還神,酬神還願
15007,hò-làn-theu,hòlàntheu,荷蘭豆,hôliântāu,荷蘭豆,豌豆
15008,van-thoi,vanthoi,萬代,bāntāi,萬代,萬代
15009,vân-vân,vânvân,彎彎,oanoan,彎oan,彎曲
15010,van-van-ngièn,vanvanngièn,萬萬年,bānbān nî,萬萬年,萬萬年
15011,vân-vat,vânvat,彎斡,oanoat,彎oat,彎轉
15012,vàn-voi,vàn voi,還會（南四縣）,iáu ē,iáu ē,還會
15013,van-vòng,van vòng,萬王,bān ông,萬王,萬王
15014,van-vòng-ke-vòng,van vòng ke vòng,萬王ke王,bān ông chi ông,萬王之王,萬王之王
15015,van-vu̍t,vanvu̍t,萬物,bān bu̍t,萬物,萬物
15016,vân-yêu,vân yêu,彎腰,oan io,彎腰,彎腰
15017,yêu-khiàm-poi-tiau,yêukhiàm poitiau,腰拑背吊,iosng kutthiàⁿ,腰酸骨痛,勞累不堪
15018,van-yit,vanyit,萬一,bānit,萬一,萬一
15019,vàng-chhòi,vàngchhòi,橫財,hoâiⁿ châi,橫財,橫財
15020,vang-hâ-lòi,vang hâlòi,橫下來,tó lo̍h lâi,倒落來,倒下來
15021,vàng-hàng,vànghàng,橫行,hoâiⁿhêng,橫行,橫行
15022,vàng-ko,vàng ko,橫過,hoâiⁿ kòe,橫過,橫過
15023,vàng-tá-chhṳ̍t-ko,vàngtá chhṳ̍tko,橫打直過,hoâiⁿchhâ ji̍pchàu,橫柴入灶,強逼、不講理。
15024,vang-kon,vangkon,橫貫,hoâiⁿkoàn,橫貫,橫貫
15025,vàng-kon-kûng-lu,vàngkon kûnglu,橫貫公路,hoâiⁿkoàn konglō͘,橫貫公路,橫貫公路
15026,vàng-kông,vàngkông,橫綱,hoâiⁿkong,橫綱,相撲最高級
15027,vàng-liòng,vàngliòng,橫樑,hoâiⁿniû,橫樑,橫樑
15028,vang-lo̍k,vanglo̍k,橫落,poa̍h lo̍h,poa̍h落,跌落
15029,vang-lo̍k-hi,vang lo̍khi,橫落去,poa̍h lo̍h khì,poa̍h落去,跌下去
15030,vang-lu,vanglu,橫路,hoâiⁿlō͘,橫路,橫路
15031,vàng-thu,vàng thu,橫渡,hoâiⁿtō͘,橫渡,貫通兩邊
15032,vàng-muk,vàngmuk,橫木,hoâiⁿbo̍k,橫木,橫木
15033,vàng-pa-pa,vàng papa,橫霸霸,hoâiⁿ pàpà,橫霸霸,霸道
15034,Vàng-sân,Vàngsân,橫山,Hoâiⁿsoaⁿ,橫山,橫山（地名）
15035,vàng-sí,vàng sí,橫死,siak sí,siak死,摔死
15036,vàng-tá,vàngtá,橫打,hoâiⁿpà,橫霸,橫行
15037,vàng-kak-mo̍k,vàngkak mo̍k,橫膈膜,hoâiⁿkeh mo̍h,橫膈膜,橫膈膜
15038,vàng-tén,vàng tén,橫著,tó leh,倒leh,橫著
15039,piong-vàng-lòi,piong vàng lòi,放橫來,hē thántó,hē坦倒,將東西平放
15040,vàng-tó,vàngtó,橫倒,poa̍htó,跋倒,跌倒
15041,vàng-vuk,vàng vuk,橫屋,hoâiⁿ chhù,橫厝,左右向的屋子
15042,vat-chón,vatchón,斡轉,oattńg,oattńg,彎過去
15043,vat-chéu,vat chéu,斡走,oa̍tcháu,oa̍t走,掉頭走開
15044,vat-chón-hi,vat chónhi,斡轉去,oat tńg khì,oat tńg去,彎回去
15045,vat-thèu,vatthèu,斡頭,oa̍tthâu,oa̍t頭,轉頭
15046,va̍t-tó,va̍t tó,滑倒（詔安）,ku̍t tó,滑倒,滑倒
15047,va̍t-liu,va̍tliu,滑溜,ku̍tliu,滑溜,流利
15048,vat-to-chón,vat tochón,斡到轉,oa̍t tòtńg,oa̍t倒tńg,回轉過來
15049,va̍t-va̍t,va̍tva̍t,滑滑,ku̍tku̍t,滑滑,滑滑的
15050,ve-chúng,ve chúng,委種,iā chéng,掖種,撒種
15051,ve-fâ,ve fâ,委花,iā hoe,撒花,撒花
15052,ve-fôi,ve fôi,委灰,iā hoe,掖灰,撒灰
15053,ve-khôi,ve khôi,委開,iā khui,掖開,撒開
15054,ve-lo̍k,ve lo̍k,委落,iā lo̍h,掖落,撒落
15055,ve-mióng,vemióng,委網,phabāng,拋網,撒網
15056,ve-nài,ve nài,委泥,iā thô͘,掖土,撒泥土
15057,ve-ngi̍p,ve ngi̍p,委入,iā ji̍p,掖入,撒入
15058,ve-têu,ve têu,委兜,iā kóa,掖kóa,撒一些
15059,ve-thiên-ve -thi,vethiên vethi,噦天噦地,hoahthiⁿ hoahtē,hoahthiⁿ hoahtē,呼天喊地
15060,ve-kuk-chúng,ve kukchúng,委穀種,iā chhekchéng,掖粟種,撒播稻穀的種子
15061,ve-yàm,ve yàm,委鹽,soah iâm,soah鹽,撒鹽
15062,ve-yông,veyông,委秧,iā ng'á,掖秧á,撒秧苗
15063,vi-chho̍k,vichho̍k,為著,ūitio̍h,為tio̍h,為了
15064,vi-chhòng,vichhòng,胃腸,ūitn̂g,胃腸,胃腸
15065,vì-chhṳ̀,vìchhṳ̀,維持,îchhî,維持,維持
15066,vi-chiak,vichiak,位跡,ūitì,位置,位置
15067,vì-chṳ́,vìchṳ́,為止,ûichí,為止,為止
15068,vi-chû-é,vi chû'é,餵豬é,chhī ti'á,飼豬á,餵豬
15069,vi-é,vi'é,位é,ūi'á,位á,位子
15070,vì-fam,vìfam,違犯,ûihoān,違犯,違犯
15071,vì-fán,vìfán,違反,ûihoán,違反,違反
15072,vì-fap,vìfap,違法,ûihoat,違法,違法
15073,vì-fu,vìfu,維護,îhō͘,維護,維護
15074,vi-fûn-chhî,vifûnchhî,未婚妻,bīhunchhe,未婚妻,未婚妻
15075,vi-fûn-fû,vifûnfû,未婚夫,bīhunhu,未婚夫,未婚夫
15076,vî-fûng,vîfûng,威風,uihong,威風,威風
15077,vî-hia̍p,vîhia̍p,威脅,uihia̍p,威脅,威脅
15078,vi-hiû,vihiû,畏羞,kiaⁿ kiànsiàu,驚見笑,害羞
15079,vì-hong-lòi,vì honglòi,圍項來,ûi khí lâi,圍起來,圍起來
15080,vi-khiéu,vikhiéu,胃口,ūikháu,胃口,胃口
15081,vì-khong,vìkhong,違抗,ûikhòng,違抗,違抗
15082,vì-khun,vìkhun,圍困,ûikhùn,圍困,圍困
15083,vî-khut,vîkhut,委屈,úikhut,委屈,委屈
15084,vì-kim,vìkim,違禁,ûikìm,違禁,違禁
15085,vì-kîn,vìkîn,圍巾,ûikin,圍巾,圍巾
15086,vì-kûng,vìkûng,圍攻,ûikong,圍攻,圍攻
15087,vì-kûng,vìkûng,圍攻,ûikong,圍攻,圍攻
15088,vì-làn,vìlàn,圍欄,ûicha̍h,圍閘,柵欄
15089,vi-liáu,viliáu,為了,ūitio̍h,為tio̍h,為了
15090,vî-li̍t,vîli̍t,威力,uile̍k,威力,威力
15091,vi-lòi,vilòi,未來,bīlâi,未來,未來
15092,vì-lo̍k,vì lo̍k,為樂,ûi lo̍k,為樂,為樂
15093,vì-lù,vìlù,圍爐,ûilô͘,圍爐,圍爐
15094,vi-miên,vimiên,未免,bībián,未免,未免
15095,vì-nàn,vìnàn,為難,ûilân,為難,為難
15096,vi-nen,vi nen,餵乳,chhī leng,飼奶,餵奶
15097,vi-ǹg-é,vi ǹg'é,餵魚é,chhī hî'á,飼魚á,餵魚
15098,vî-ngì,vîngì,威儀,uigî,威儀,威儀
15099,vì-ngia̍k,vìngia̍k,違逆,ûige̍k,違逆,違逆
15100,kiú-vì,kiúvì,久違,kiúûi,久違,好久不見
15101,vî-ngiàm,vîngiàm,威嚴,uigiâm,威嚴,威嚴
15102,vì-ngìn,vìngìn,為人,chòlâng,做人,為人
15103,vi-ôn-fu,viôn fu,慰安婦,ūian hū,慰安婦,慰安婦
15104,vi-páu,vi páu,餵飽,chhī pá,飼飽,餵飽
15105,vî-phai,vîphai,委派,úiphài,委派,委派
15106,vi-pîn,vipîn,衛兵,ōepeng,衛兵,衛兵
15107,vi-pîn-yéng,vipîn yéng,衛兵營,ōepeng iâⁿ,衛兵營,衛兵營
15108,vì-poi,vìpoi,違背,ûipōe,違背,違背
15109,vì-kûi,vìkûi,違規,ûikui,違規,違規
15110,vì-san,vì san,為善,ûi siān,為善,為善
15111,vì-sán,vìsán,遺產,ûisán,遺產,遺產
15112,vì-sàng,vì sàng,圍城,ûi siâⁿ,圍城,圍城
15113,vi-sên,visên,衛生,ōeseng,衛生,衛生
15114,vi-sên-chṳ́,visênchṳ́,衛生紙,ōeseng chóa,衛生紙,衛生紙
15115,vi-sên-só,visên só,衛生所,ōeseng só͘,衛生所,衛生所
15116,vì-siòng,vìsiòng,圍牆,ûichhiûⁿ,圍牆,圍牆
15117,vi-siû,visiû,畏羞,kiaⁿkiànsiàu,驚見笑,怕羞
15118,vi-só,visó,位所,ūitì,位置,位置
15119,vì-sṳn,vì sṳn,為聖,ûi sèng,為聖,為聖
15120,vì-sṳ̂n-khiùn,vìsṳ̂nkhiùn,圍身裙,ûisukûn,圍裙,圍裙
15121,vì-tén,vì tén,圍著,ûi leh,圍leh,圍著
15122,vi-têu,vi têu,餵兜,chhī kóa,飼kóa,餵一些
15123,ví-thai,víthai,偉大,úitāi,偉大,偉大
15124,vì-thai,vì thai,為大,chò tōa,做大,為大
15125,vì-thí,vìthí,遺體,ûithé,遺體,遺體
15126,vî-thok,vîthok,委託,úithok,委託,委託
15127,vì-thu̍k,vìthu̍k,唯獨,to̍kto̍k,獨獨,唯獨
15128,vi-tó,vitó,為著,ūitio̍h,為tio̍h,為了
15129,vì-vì-chhiû,vìvì chhiû,圍圍揪,ûiûi leh,圍起來,圍起來
15130,vì-yit,vìyit,惟一,to̍kit,獨一,惟一
15131,vì-yok,vìyok,違約,ûiiok,違約,違約
15132,vi-yông,viyông,餵養,iúⁿchhī,養飼,餵養
15133,vì-yû,vìyû,唯有,kantaⁿ ū,kantaⁿ有,唯有
15134,vò-é,vò'é,禾é,ng'á,秧á,秧苗
15135,vò-hà,vòhà,禾蝦,chháume̍h,草蜢,螽斯
15136,vò-khún,vò khún,禾捆,tiūchháu khún,稻草綑,禾捆
15137,vò-kón,vò kón,禾稈,tiūchháu,稻草,禾稈
15138,vò-kuk,vòkuk,禾穀,tiūchhek,稻粟,稻子
15139,vò-liàm,vòliàm,禾鐮,liâmle̍k'á,鐮le̍k'á,鐮刀
15140,vò-liàm-kiet,vòliàmkiet,禾鐮結,iochhioh,腰chhioh,胰臟
15141,vò-thàng,vòthàng,禾埕,tiūtiâⁿ,稻埕,晒穀場
15142,vò-vòng,vòvòng,禾黃,tiūse̍k,稻熟,稻子成熟
15143,voi hòn mò,voi hòn mò,會寒無,ē koâⁿ bē,ē寒bē,會冷嗎
15144,voi ngie̍t mò,voi ngie̍t mò,會熱無,ē joa̍h bē,ē熱bē,會熱嗎
15145,voi-chéu,voi chéu,會走,ē cháu,ē走,會走
15146,voi-chho,voi chho,會造,ē chō,ē造,會造
15147,voi-cho,voi cho,會做,ē chò,ē做,會做
15148,voi-chún,voi chún,會准,ē chún,ē准,會准
15149,voi-fái,voi fái,會壞,ē pháiⁿ,ē pháiⁿ,會壞
15150,voi-ham,voiham,會喊,ē hoah,ē hoah,會喊
15151,fi-m̀-chhṳ̍t,fi m̀ chhṳ̍t,會毋直,hōe bē ti̍t,hōe bē直,賠不起、無法交代
15152,voi-hen,voi hen,會恨,ē hīn,ē恨,會恨
15153,vì-hen,vìhen,遺恨,ûihīn,遺恨,遺恨
15154,voi-hi,voi hi,會去,ē khì,ē去,會去
15155,voi-hó,voi hó,會好,ē hó,ē好,會好
15156,voi-kiâng,voi kiâng,會驚,ē kiaⁿ,ē驚,會驚
15157,voi-kieu,voi kieu,會噭,ē khàu,ē 哭,會哭
15158,voi-kiu,voi kiu,會救,ē kiù,ē救,會救
15159,voi-kóng,voi kóng,會講,ē kóng,ē講,會講
15160,voi-lòi,voi lòi,會來,ē lâi,ē 來,會來
15161,voi-mò,voi mò,會無,kám ē,kám ē,會嗎
15162,voi-mun,voi mun,會問,ē mn̄g,ē 問,會問
15163,voi-phà,voi phà,會爬,ē pê,ē 爬,會爬
15164,voi-pî,voi pî,會飛,ē poe,ē 飛,會飛
15165,voi-pien,voi pien,會變,ē piàn,ē 變,會變
15166,voi-seu,voi seu,會笑,ē chhiò,ē 笑,會笑
15167,voi-sêu,voisêu,會燒,ē sio,ē 燒,會燒
15168,voi-sí,voi sí,會死,ē sí,ē 死,會死
15169,voi-sṳ̍t,voi sṳ̍t,會食,ē chia̍h,ē 食,會食
15170,voi-thâng,voi thâng,會聽,ē thiaⁿ,ē聽,會聽
15171,voi-thiau,voi thiau,會跳,ē thiàu,ē跳,會跳
15172,voi-tî,voi tî,會知,ē chai,ē知,會知
15173,voi-to,voi to,會到,ē kàu,ē到,會到
15174,voi-vû,voi vû,會烏,ē o͘,ē烏,會黑
15175,voi-yû,voi yû,會有,ē ū,ē有,會有
15176,vo̍k-chhán,vo̍kchhán,鑊鏟,chiansî,煎匙,鍋鏟
15177,vo̍k-é,vo̍k'é,鑊é,oe'á,鍋á,鍋子
15178,chiâng-khièn,chiâng khièn,猜拳,hoahkûn,hoah拳,猜拳
15179,vo̍k-koi,vo̍kkoi,鑊蓋,oe'á kòa,鍋á蓋,鍋蓋
15180,vok-miên,vokmiên,豁免,hatbián,豁免,免除
15181,vok-pûn,vok pûn,豁給,tàn hō͘,tàn hō͘,丟給
15182,vok-thet,vok thet,豁忒,tàn tiāu,tàn掉,丟掉
15183,vo̍k-thèu,vo̍kthèu,鑊頭,tōa oe,大鍋,大鍋
15184,vo̍k-tú,vo̍k tú,鑊肚,oe'á lāi,鍋á內,鍋內
15185,vón-chhan-é,vón chhan'é,碗棧é,óaⁿ tū'á,碗櫥á,碗櫥
15186,von-chhièn,von chhièn,換錢,ōaⁿ chîⁿ,換錢,換錢
15187,von-cho,von cho,換做,ōaⁿ chò,換做,換做
15188,von-chhâ,von chhâ,換車,ōaⁿ chhia,換車,換車
15189,von-chok,von chok,換著,ōaⁿ chhēng,換穿,換穿
15190,von-fu,von fu,換褲,ōaⁿ khò͘,換褲子,換褲子
15191,von-hài,von hài,換鞋,ōaⁿ ê,換鞋,換鞋
15192,vón-hìn,vón hìn,碗型,óaⁿ hêng,碗型,碗型
15193,von-kâng,von kâng,換耕,ōaⁿ keng,換耕,換耕
15194,von-ko,von ko,換過,ōaⁿ kòe,換過,換過
15195,von-kûng,von kûng,換工,ōaⁿ kang,幫忙,幫忙
15196,vón-kûng,vónkûng,碗公,óaⁿkong,碗公,大碗
15197,von-mâ,von mâ,換馬,ōaⁿ bé,換馬,換馬
15198,von-mat,von mat,換襪,ōaⁿ boe̍h'á,換襪á,換襪子
15199,von-ngìn,von ngìn,換人,ōaⁿ lâng,換人,換人
15200,von-pân,von pân,換班,ōaⁿ pan,換班,換班
15201,vón-phàn,vónphàn,碗盤,óaⁿpôaⁿ,碗盤,碗盤
15202,von-sâm,von sâm,換衫,ōaⁿ saⁿ,換衣,換衣
15203,von-sîm,von sîm,換心,ōaⁿ sim,換心,換心
15204,von-sîn,von sîn,換新,ōaⁿ sin,換新,換新
15205,téu-von,téu von,斗煥,bu̍tbu̍t kauōaⁿ,物物交換,物物交換
15206,von-thet,von thet,換忒,ōaⁿ tiāu,換掉,換掉
15207,von-tó,von tó,換到,ōaⁿ tio̍h,換tio̍h,換到
15208,vón-tú,vón tú,碗肚,óaⁿ lāi,碗內,碗內
15209,von-vi,von vi,換位,ōaⁿ ūi,換位,換位
15210,vòng-chhèu,vòngchhèu,王朝,ôngtiâu,王朝,王朝
15211,vòng-chhièn,vòngchhièn,黃泉,n̂gchôaⁿ,黃泉,黃泉
15212,vòng-chhîn,vòngchhîn,王親,ôngchhin,王親,王親
15213,vòng-chhu̍k,vòngchhu̍k,王族,ôngcho̍k,王族,王族
15214,vòng-chṳ́,vòngchṳ́,王子,ôngchú,王子,王子
15215,vòng-fî,vòngfî,王妃,ônghui,王妃,王妃
15216,vòng-fu̍k,vòngfu̍k,王服,ôngho̍k,王服,王服
15217,vòng-fûng,vòngfûng,黃蜂,n̂gphang,黃蜂,黃蜂
15218,vòng-heu,vòngheu,王后,ônghō͘,王后,王后
15219,vòng-kâ,vòngkâ,王家,ôngke,王家,王家
15220,vòng-khièn,vòngkhièn,王權,ôngkoân,王權,王權
15221,vòng-khu,vòngkhu,王庫,ôngkhò͘,王庫,王庫
15222,vòng-kîm,vòngkîm,黃金,n̂gkim,黃金,黃金
15223,vòng-kiûng,vòngkiûng,王宮,ôngkiong,王宮,王宮
15224,vòng-kôa,vòngkôa,黃瓜（大埔）,n̂gkoe'á,黃瓜á,黃瓜
15225,net-kôa,net kôa,竻瓜,sió n̂gkoe'á,小黃瓜á,小黃瓜{胡瓜的一種}
15226,vòng-koet,vòngkoet,王國,ôngkok,王國,王國
15227,vòng-kon,vòngkon,王冠,ôngkoan,王冠,王冠
15228,vòng-lièn,vònglièn,黃連,n̂gliân,黃連,黃連
15229,vòng-mà,vòngmà,黃麻,n̂gmôa,黃麻,黃麻
15230,vòng-mâ,vòngmâ,王馬,ông bé,王馬,王馬
15231,vòng-mà-kut,vòngmà kut,黃麻骨,n̂gmôa kut,黃麻骨,黃麻骨
15232,vòng-mo,vòng mo,王帽,ông bō,王帽,王帽
15233,vông-ngit,vôngngit,往日,óngji̍t,往日,往日
15234,vòng-ngiu̍k,vòngngiu̍k,黃玉,n̂gge̍k,黃玉,黃玉
15235,vòng-pân-lu̍k,vòngpân lu̍k,黃斑鹿,n̂gpan lo̍k,黃斑鹿,黃斑鹿
15236,vòng-phàu,vòngphàu,王袍,ôngphâu,王袍,王袍
15237,vòng-phiang,vòngphiang,黃病,n̂gtáⁿ pēⁿ,黃疸病,黃疸
15238,vòng-piak-ngiu̍k,vòng piakngiu̍k,黃碧玉,n̂g phekge̍k,黃碧玉,黃碧玉
15239,vòng-sâm,vòng sâm,黃衫,n̂g saⁿ,黃衫,黃衫
15240,vòng-sàng,vòngsàng,王城,ôngsiâⁿ,王城,王城
15241,vòng-set,vòngset,黃色,n̂gsek,黃色,黃色
15242,vong-sṳn,vongsṳn,旺盛,ōngsēng,旺盛,旺盛
15243,vòng-sṳt,vòngsṳt,王室,ôngsek,王室,王室
15244,vòng-thèn,vòngthèn,黃藤,n̂gtîn,黃藤,黃藤
15245,vòng-vi,vòngvi,王位,ôngūi,王位,王位
15246,vòng-yà,vòngyà,王爺,ôngiâ,王爺,王爺
15247,vòng-yéng-su,vòngyéng su,黃楊樹,n̂giûⁿ chhiū,黃楊樹,黃楊樹
15248,vóng-yèn,vóngyèn,枉然,óngjiân,枉然,枉然
15249,vòng-yin,vòng yin,王印,ông ìn,王印,王印
15250,vû-â,vûâ,烏鴉,o͘'a,烏鴉,烏鴉
15251,vû-am,vûam,黑暗,o͘àm,烏暗,黑暗
15252,vû-âp-é,vû âp'é,烏鴨é,o͘ ah'á,烏鴨á,黑色的鴨子
15253,vû-chhiâng,vûchhiâng,烏青,o͘chheⁿ,烏青,瘀青
15254,vú-chông,vúchông,武裝,búchong,武裝,武裝
15255,vù-fâ-kó,vùfâkó,無花果,bûhoakó,無花果,無花果
15256,vù-fâ-kó-su,vùfâkó su,無花果樹,bûhoakó chhiū,無花果樹,無花果樹
15257,vú-hi,vúhi,武器,būkhì,武器,武器
15258,vù-ka,vù ka,無價,bû kè,無價,無價
15259,vù-kau,vùkau,無酵,bô kàⁿ,無酵,無酵
15260,Vù-kau-chiet,Vùkau chiet,無酵節,Bôkàⁿ cheh,無酵節,無酵節
15261,vù-kau-piáng,vùkaupiáng,無酵餅,bôkàⁿ piáⁿ,無酵餅,無酵餅
15262,vû-kha̍t-kha̍t-ê,vû kha̍tkha̍tê,烏刻刻ê,o͘ khia̍tkhia̍t,烏khia̍tkhia̍t,皮膚曬黑
15263,vù-khiùng,vùkhiùng,無窮,bûkiông,無窮,無窮
15264,mò-song-mò-ha,mòsong mòha,無上無下,bôtōa bôsè,無大無細,沒大沒小
15265,vù-khû,vùkhû,無辜,bûko͘,無辜,無辜
15266,hàng-mò-lu,hàng mò lu,行無路,cháutâu bôlō͘,走投無路,走投無路
15267,chhàm-khui,chhàmkhui,慚愧,chhâmkhùi,慚愧,慚愧
15268,vû-kîm,vûkîm,烏金,o͘kim,烏金,黑金
15269,vû-kîm-vû-kîm,vûkîm vûkîm,烏金烏金,o͘kim o͘kim,烏金烏金,黑得發亮
15270,vú-li̍t,vúli̍t,武力,búle̍k,武力,武力
15271,Vû-lòi,Vûlòi,烏來,Ulai,烏來,烏來（地名）
15272,vû-lok,vûlok,烏烙,bīn o͘ chi̍t pòaⁿ,面烏一半,臉色暗沉
15273,vû-lok-vû-lok,vûlok vûlok,烏烙烏烙,bīn o͘ chi̍t pòaⁿ,面烏一半,臉色暗沉無光澤
15274,vû-mâ,vû mâ,烏馬,o͘ bé,烏馬,黑馬
15275,vû-me̍t,vû me̍t,烏墨,o͘ ba̍k,烏墨,黑墨
15276,vû-mien-chhe̍t,vûmienchhe̍t,烏面賊,o͘bīn chha̍t,烏面賊,指無法從外表辨別其內容、品質好壞的事物。
15277,vû-mô,vû mô,烏毛,o͘ mo͘,烏毛,黑毛
15278,vû-nài,vû nài,污泥,lahsap thô͘,lahsap土,污泥
15279,vû-tu-chṳ́,vûtuchṳ́,烏𪐞子,o͘jí'á,烏jí'á,龍葵
15280,vû-ngiam,vûngiam,污染,ùjiám,污染,污染
15281,vù-ngièn,vùngièn,無言,bûgiân,無言,沉默
15282,mò-fa-kóng,mò fakóng,無話講,bô ōekóng,無話講,沒話說
15283,vû-ngìn,vûngìn,烏人,o͘lâng,烏人,黑人
15284,vû-ngiuk,vûngiuk,烏肉,o͘ bah,烏肉,黝黑
15285,vù-ngoi,vùngoi,無礙,bô gāi,無礙,無礙
15286,chú-ngoi,chúngoi,阻礙,chó͘gāi,阻礙,阻礙
15287,vú-sa,vúsa,舞射,chhòngtī,chhòngtī,捉弄
15288,vû-set,vûset,烏色,o͘sek,黑色,黑色
15289,vù-só-put-tî,vù só puttî,無所不知,bû só͘ putti,無所不知,無所不知
15290,mak-ke-tû-tî,makke tû tî,麼个都知,bû só͘ putti,無所不知,無所不知
15291,vû-sò-sò,vû sòsò,烏趖趖,o͘ sôsô,烏sôsô,形容很黑
15292,vù-sòng,vùsòng,無常,bûsiông,無常,無常
15293,vû-súi,vûsúi,污水,lahsap chúi,污水,污水
15294,vú-thâng,vúthâng,舞廳,búthiaⁿ,舞廳,舞廳
15295,vû-thet,vû thet,烏忒,o͘ khì,烏去,黑掉
15296,vû-thiên,vû thiên,烏天,o͘ thiⁿ,烏天,黑天
15297,vû-thiên-am-thi,vûthiênamthi,烏天暗地,o͘ thiⁿ àm tē,烏天暗地,天昏地暗
15298,vú-thòi,vúthòi,舞台,bútâi,舞台,舞台
15299,vû-tiám,vûtiám,污點,ùtiám,污點,污點
15300,vû-tiám,vû tiám,烏點,o͘ tiàm,烏點,黑點
15301,vú-tún,vútún,武頓,bútún,武腯,矮胖體壯
15302,vû-tún-chhâ-chhùi,vûtún chhâchhùi,武頓車搥,bútún kianchòng,武腯堅壯,健壯
15303,vû-vû,vûvû,烏烏,o͘o͘,烏烏,黑黑
15304,vû-yéng,vû yéng,烏影,o͘ iáⁿ,黑影,黑影
15305,vû-yên,vû yên,烏煙,o͘ ian,黑煙,黑煙
15306,vû-yîm-thiên,vûyîmthiên,烏陰天,o͘imthiⁿ,烏陰天,陰天
15307,vû-yìn,vûyìn,烏蠅,hô͘sîn,胡蠅,蒼蠅
15308,vû-yòng-mô,vû yòngmô,烏羊毛,o͘ iûⁿmn̂g,烏羊毛,黑羊毛
15309,vú-yu̍k,vúyu̍k,侮辱,bújio̍k,侮辱,侮辱
15310,vû-yùn,vûyùn,烏雲,o͘hûn,烏雲,烏雲
15311,vû-yùng,vû yùng,烏熊,o͘ hîm,烏熊,黑熊
15312,vuk-é,vuk'é,屋é,chhùthe̍h,厝宅,房屋
15313,vuk-fat,vukfat,屋闊,chhù khoah,厝闊,屋寬
15314,vuk-hâ,vukhâ,屋下,chhùkha,厝kha,屋下
15315,vuk-khâ,vukkhâ,屋家,chhù ni̍h,厝裡,家裡
15316,chhu-kâ,chhukâ,住家,khiāke,khiā家,住家
15317,vuk-kok,vuk kok,屋角,chhù kak,厝角,屋角
